NELEC	10
ENUC	11.406077
NBASIS	13

OEI
2.489683	
7 6 5 1 0.0261507
7 6 5 2 0.0037117
7 6 5 3 -0.0097666
7 6 5 4 0.0073775
7 6 5 5 0.0042942
7 6 6 0 -0.0028435
7 6 6 1 -0.0475499
7 6 6 2 -0.0872340
7 6 6 3 0.0963329
7 6 6 4 -0.0602001
7 6 6 5 -0.0234301
7 6 6 6 0.1643486
7 6 7 0 0.0006292
7 6 7 1 -0.0689558
7 6 7 2 -0.0298368
7 6 7 3 0.0185761
7 6 7 4 -0.0039900
7 6 7 5 0.0189857
7 6 7 6 0.0708370
7 6 7 7 -0.1063320
7 7 0 0 1.5032195
7 7 1 0 -0.0206164
7 7 1 1 1.0748172
7 7 2 0 0.0178301
7 7 2 1 0.1519479
7 7 2 2 0.5832547
7 7 3 0 0.0055006
7 7 3 1 0.1072980
7 7 3 2 0.0539773
7 7 3 3 0.8200657
7 7 4 0 -0.0019494
7 7 4 1 -0.0343677
7 7 4 2 0.0509568
7 7 4 3 0.0353637
7 7 4 4 0.5745726
7 7 5 0 0.0093970
7 7 5 1 0.0133409
7 7 5 2 -0.0645320
7 7 5 3 -0.1098739
7 7 5 4 -0.0148629
7 7 5 5 0.7482911
7 7 6 0 -0.0117240
7 7 6 1 0.0288981
7 7 6 2 -0.1231630
7 7 6 3 0.0448955
7 7 6 4 -0.1200063
7 7 6 5 0.0307533
7 7 6 6 0.9065479
7 7 7 0 0.0083364
7 7 7 1 0.1550895
7 7 7 2 0.1278269
7 7 7 3 0.3821891
7 7 7 4 0.0938825
7 7 7 5 -0.1575366
7 7 7 6 -0.1063320
7 7 7 7 1.2657142
8 0 0 0 -0.0590158
8 0 1 0 0.0214475
8 0 1 1 0.0376846
8 0 2 0 0.0001192
8 0 2 1 0.0075383
8 0 2 2 0.0102916
8 0 3 0 -0.0004081
8 0 3 1 0.0005531
8 0 3 2 -0.0001390
8 0 3 3 0.0120028
8 0 4 0 -0.0054158
8 0 4 1 -0.0021035
8 0 4 2 -0.0008616
8 0 4 3 -0.0006963
8 0 4 4 0.0001570
8 0 5 0 0.0024923
8 0 5 1 0.0047886
8 0 5 2 0.0009183
8 0 5 3 -0.0048340
8 0 5 4 -0.0015825
8 0 5 5 0.0339114
8 0 6 0 0.0125756
8 0 6 1 0.0002525
8 0 6 2 -0.0113417
8 0 6 3 0.0111331
8 0 6 4 -0.0113826
8 0 6 5 0.0026399
8 0 6 6 0.0301870
8 0 7 0 -0.0056041
8 0 7 1 0.0020524
8 0 7 2 0.0049369
8 0 7 3 0.0230863
8 0 7 4 0.0035945
8 0 7 5 -0.0037434
8 0 7 6 0.0015373
8 0 7 7 0.0276097
8 0 8 0 0.0178282
8 0 8 1 0.0257032
8 0 8 2 0.0156510
8 0 8 3 -0.0005231
8 0 8 4 -0.0137079
8 0 8 5 0.0042150
8 0 8 6 0.0156547
8 0 8 7 -0.0070949
8 0 8 8 0.0261164
